time,delta0,delta1,delta2,delta3,delta4
0,0020,0023,0032,0043,0041,
1,0037,0038,0055,0090,0075,
2,0037,0038,0055,0090,0075,
3,0022,0016,0039,0059,0045,
4,0021,0016,0036,0044,0043,
5,0014,0016,0034,0038,0040,
6,0009,0003,0015,0012,0012,
7,0009,0003,0015,0012,0012,
8,0009,0003,0015,0012,0012,
9,-002,0005,0004,0006,0005,
10,-002,0005,0004,0006,0005,
11,-002,0005,0004,0006,0005,
12,0000,0004,-001,0003,0005,
13,0000,0004,-001,0003,0005,
14,0000,0004,-001,0003,0005,
15,0006,0001,-002,0001,-004,
16,0006,0001,-002,0001,-004,
17,0006,0001,-002,0001,-004,
18,-002,0003,0002,0002,0001,
19,-002,0003,0002,0002,0001,
20,-002,0003,0002,0002,0001,
21,-002,0000,0002,0000,-003,
22,-002,0000,0002,0000,-003,
23,-002,0000,0002,0000,-003,
24,-001,0005,0000,0003,0003,
25,-001,0005,0000,0003,0003,
26,-001,0005,0000,0003,0003,
27,-001,0001,0001,-002,-005,
28,-001,0001,0001,-002,-005,
29,-001,0001,0001,-002,-005,
