time,delta0,delta1,delta2,delta3,delta4
0,0026,0024,0032,0042,0040,
1,0031,0024,0043,0064,0057,
2,0037,0029,0061,0085,0057,
3,0042,0043,0067,0095,0084,
4,0041,0042,0067,0099,0084,
5,0041,0042,0067,0099,0084,
6,0016,0015,0038,0054,0043,
7,0016,0015,0032,0052,0038,
8,0016,0015,0030,0042,0038,
9,0006,0008,0013,0015,0010,
10,0006,0008,0013,0015,0010,
11,0006,0008,0013,0015,0010,
12,0002,0000,0008,0006,0002,
13,0002,0000,0008,0006,0002,
14,0002,0000,0008,0006,0002,
15,0003,0002,0009,0005,0003,
16,0003,0002,0009,0005,0003,
17,0003,0002,0009,0005,0003,
18,0002,0000,0005,0002,0000,
19,0002,0000,0005,0002,0000,
20,0002,0000,0005,0002,0000,
21,-001,0003,-001,0007,-002,
22,-001,0003,-001,0007,-002,
23,-001,0003,-001,0007,-002,
24,0000,0002,0007,0002,0000,
25,0000,0002,0007,0002,0000,
26,0000,0002,0007,0002,0000,
27,-002,0005,-002,0005,-003,
28,-002,0005,-002,0005,-003,
29,-002,0005,-002,0005,-003,
