time,delta0,delta1,delta2,delta3,delta4
0,0015,0013,0027,0031,0032,
1,0028,0024,0042,0059,0051,
2,0033,0027,0047,0065,0059,
3,0060,0048,0078,0118,0106,
4,0084,0082,0105,0147,0127,
5,0084,0082,0110,0155,0141,
6,0084,0082,0107,0155,0141,
7,0084,0082,0107,0155,0141,
8,0042,0040,0081,0122,0095,
9,0032,0030,0061,0101,0078,
10,0025,0023,0049,0072,0056,
11,0003,-001,0019,0023,0015,
12,0003,-001,0019,0023,0015,
13,0003,-001,0019,0023,0015,
14,0003,-001,0019,0011,0005,
15,0006,0001,0019,0011,0005,
16,0006,0001,0019,0011,0005,
17,-001,0000,0007,0009,-002,
18,-001,0000,0007,0009,-002,
19,-002,0000,0007,0009,-002,
20,0004,0003,0005,0003,0002,
21,0004,0003,0005,0003,0002,
22,0004,0003,0005,0003,0002,
23,-002,0000,0000,0004,-001,
24,-002,0000,0000,0004,-001,
25,-002,0000,0000,0004,-001,
26,-002,0006,0002,0003,-001,
27,-002,0006,0002,0003,-001,
28,-002,0006,0002,0003,-001,
29,-003,0000,-001,0002,-002,
